student_id,name,pref_1,pref_2,pref_3,pref_4,pref_5,pref_6,pref_7,pref_8,pref_9,pref_10
1,Student_001,Course_8,Course_4,Course_3,Course_9,Course_6,Course_7,Course_10,Course_5,Course_1,Course_2
2,Student_002,Course_4,Course_6,Course_3,Course_5,Course_2,Course_9,Course_8,Course_1,Course_7,Course_10
3,Student_003,Course_8,Course_6,Course_1,Course_3,Course_5,Course_10,Course_2,Course_7,Course_4,Course_9
4,Student_004,Course_8,Course_9,Course_4,Course_1,Course_3,Course_10,Course_2,Course_5,Course_6,Course_7
5,Student_005,Course_10,Course_7,Course_8,Course_4,Course_1,Course_3,Course_5,Course_9,Course_6,Course_2
6,Student_006,Course_9,Course_1,Course_4,Course_3,Course_8,Course_6,Course_10,Course_5,Course_2,Course_7
7,Student_007,Course_6,Course_8,Course_5,Course_10,Course_9,Course_3,Course_7,Course_4,Course_1,Course_2
8,Student_008,Course_1,Course_4,Course_10,Course_7,Course_9,Course_3,Course_2,Course_6,Course_8,Course_5
9,Student_009,Course_7,Course_1,Course_5,Course_9,Course_6,Course_8,Course_10,Course_4,Course_3,Course_2
10,Student_010,Course_5,Course_10,Course_2,Course_8,Course_3,Course_9,Course_7,Course_4,Course_1,Course_6
11,Student_011,Course_3,Course_2,Course_1,Course_5,Course_7,Course_8,Course_9,Course_10,Course_6,Course_4
12,Student_012,Course_10,Course_1,Course_2,Course_7,Course_9,Course_8,Course_6,Course_5,Course_4,Course_3
13,Student_013,Course_4,Course_5,Course_10,Course_2,Course_6,Course_7,Course_1,Course_8,Course_9,Course_3
14,Student_014,Course_9,Course_1,Course_6,Course_3,Course_8,Course_5,Course_4,Course_10,Course_2,Course_7
15,Student_015,Course_4,Course_8,Course_10,Course_1,Course_3,Course_6,Course_7,Course_5,Course_9,Course_2
16,Student_016,Course_4,Course_9,Course_5,Course_2,Course_10,Course_7,Course_6,Course_1,Course_8,Course_3
17,Student_017,Course_8,Course_10,Course_6,Course_1,Course_7,Course_3,Course_2,Course_4,Course_9,Course_5
18,Student_018,Course_5,Course_6,Course_4,Course_9,Course_10,Course_7,Course_3,Course_2,Course_1,Course_8
19,Student_019,Course_1,Course_4,Course_3,Course_6,Course_9,Course_5,Course_7,Course_10,Course_8,Course_2
20,Student_020,Course_6,Course_1,Course_10,Course_2,Course_4,Course_7,Course_8,Course_5,Course_3,Course_9
21,Student_021,Course_2,Course_3,Course_8,Course_1,Course_9,Course_10,Course_4,Course_6,Course_7,Course_5
22,Student_022,Course_4,Course_3,Course_8,Course_9,Course_10,Course_7,Course_5,Course_1,Course_6,Course_2
23,Student_023,Course_5,Course_6,Course_9,Course_8,Course_7,Course_3,Course_10,Course_2,Course_4,Course_1
24,Student_024,Course_8,Course_2,Course_1,Course_10,Course_7,Course_5,Course_6,Course_3,Course_9,Course_4
25,Student_025,Course_10,Course_5,Course_8,Course_3,Course_9,Course_6,Course_1,Course_2,Course_4,Course_7
26,Student_026,Course_10,Course_5,Course_6,Course_7,Course_3,Course_4,Course_9,Course_2,Course_1,Course_8
27,Student_027,Course_6,Course_1,Course_5,Course_3,Course_7,Course_10,Course_2,Course_8,Course_9,Course_4
28,Student_028,Course_9,Course_3,Course_4,Course_7,Course_5,Course_6,Course_1,Course_10,Course_8,Course_2
29,Student_029,Course_10,Course_6,Course_5,Course_1,Course_9,Course_2,Course_4,Course_8,Course_7,Course_3
30,Student_030,Course_10,Course_2,Course_8,Course_6,Course_3,Course_4,Course_9,Course_5,Course_7,Course_1
31,Student_031,Course_9,Course_7,Course_10,Course_6,Course_8,Course_1,Course_2,Course_5,Course_4,Course_3
32,Student_032,Course_6,Course_4,Course_3,Course_9,Course_2,Course_7,Course_5,Course_8,Course_10,Course_1
33,Student_033,Course_7,Course_5,Course_10,Course_1,Course_4,Course_8,Course_6,Course_9,Course_2,Course_3
34,Student_034,Course_7,Course_9,Course_8,Course_3,Course_5,Course_6,Course_4,Course_2,Course_1,Course_10
35,Student_035,Course_8,Course_1,Course_10,Course_7,Course_3,Course_2,Course_9,Course_5,Course_4,Course_6
36,Student_036,Course_4,Course_6,Course_7,Course_3,Course_9,Course_5,Course_10,Course_2,Course_8,Course_1
37,Student_037,Course_8,Course_1,Course_5,Course_7,Course_9,Course_10,Course_3,Course_6,Course_4,Course_2
38,Student_038,Course_7,Course_4,Course_6,Course_10,Course_1,Course_3,Course_8,Course_2,Course_5,Course_9
39,Student_039,Course_1,Course_9,Course_8,Course_7,Course_2,Course_3,Course_6,Course_4,Course_10,Course_5
40,Student_040,Course_10,Course_8,Course_7,Course_9,Course_3,Course_4,Course_6,Course_2,Course_1,Course_5
41,Student_041,Course_2,Course_1,Course_8,Course_7,Course_9,Course_4,Course_6,Course_10,Course_5,Course_3
42,Student_042,Course_7,Course_6,Course_4,Course_9,Course_8,Course_1,Course_5,Course_3,Course_10,Course_2
43,Student_043,Course_4,Course_8,Course_9,Course_2,Course_3,Course_10,Course_7,Course_6,Course_5,Course_1
44,Student_044,Course_4,Course_3,Course_1,Course_8,Course_10,Course_9,Course_5,Course_7,Course_6,Course_2
